SeqId	Protein.(short.name)	Protein.(full.name)	Gene	Remark	Included.in.analysis	UniProt	Organism	Type	Ensembl.Gene.ID	Entrez.Gene.ID	HGNC.ID
14178_18	CDKN3	Cyclin-dependent kinase inhibitor 3	CDKN3	NA	Yes	Q16667	human	Protein	ENSG00000100526	1033	HGNC:1791
14186_13	RFFL	E3 ubiquitin-protein ligase rififylin	RFFL	NA	Yes	Q8WZ73	human	Protein	ENSG00000092871	NA	HGNC:24821
14192_31	PDCL2	Phosducin-like protein 2	PDCL2	NA	Yes	Q8N4E4	human	Protein	ENSG00000163440	NA	HGNC:29524
14197_2	PRDM1	PR domain zinc finger protein 1	PRDM1	NA	Yes	O75626	human	Protein	ENSG00000057657	NA	HGNC:9346
14203_3	ANXA7	Annexin A7	ANXA7	NA	Yes	P20073	human	Protein	ENSG00000138279	310	HGNC:545
14204_55	FOXJ2	Forkhead box protein J2	FOXJ2	NA	Yes	Q9P0K8	human	Protein	ENSG00000065970	NA	HGNC:24818
14205_6	HEXI2	Protein HEXIM2	HEXIM2	NA	Yes	Q96MH2	human	Protein	ENSG00000168517	NA	HGNC:28591
14206_28	APBB1	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	NA	Yes	O00213	human	Protein	ENSG00000166313	322	HGNC:581
14208_3	RET7	Retinoid-binding protein 7	RBP7	NA	Yes	Q96R05	human	Protein	ENSG00000162444	NA	HGNC:30316
14216_35	DDX46	Probable ATP-dependent RNA helicase DDX46	DDX46	NA	Yes	Q7L014	human	Protein	ENSG00000145833	NA	HGNC:18681
14226_120	BHMT2	S-methylmethionine--homocysteine S-methyltransferase BHMT2	BHMT2	NA	Yes	Q9H2M3	human	Protein	ENSG00000132840	23743	HGNC:1048
14227_21	MYL6B	Myosin light chain 6B	MYL6B	NA	Yes	P14649	human	Protein	ENSG00000196465	140465	HGNC:29823
14228_1	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14229_5	MOCS3	Adenylyltransferase and sulfurtransferase MOCS3	MOCS3	NA	Yes	O95396	human	Protein	ENSG00000124217	NA	HGNC:15765
14237_1	HSP 70	Heat shock 70 kDa protein 1A	HSPA1A	HSP 70 binding	No	P0DMV8	human	Protein	ENSG00000232804	3303	HGNC:5232
14245_195	SNX7	Sorting nexin-7	SNX7	NA	Yes	Q9UNH6	human	Protein	ENSG00000162627	NA	HGNC:14971
14246_50	DOK2	Docking protein 2	DOK2	NA	Yes	O60496	human	Protein	ENSG00000147443	9046	HGNC:2991
14249_68	TRIM1	Probable E3 ubiquitin-protein ligase MID2	MID2	NA	Yes	Q9UJV3	human	Protein	ENSG00000080561	NA	HGNC:7096
14250_115	BLMH	Bleomycin hydrolase	BLMH	NA	Yes	Q13867	human	Protein	ENSG00000108578	642	HGNC:1059
14254_27	PTN4	Tyrosine-protein phosphatase non-receptor type 4	PTPN4	NA	Yes	P29074	human	Protein	ENSG00000088179	NA	HGNC:9656
14256_4	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14260_112	ARHG8	Neuroepithelial cell-transforming gene 1 protein	NET1	NA	Yes	Q7Z628	human	Protein	ENSG00000173848	10276	HGNC:14592
14268_4	SRXN1	Sulfiredoxin-1	SRXN1	NA	Yes	Q9BYN0	human	Protein	ENSG00000172070	140809	HGNC:16132
14271_23	RAB6B	Ras-related protein Rab-6B	RAB6B	NA	Yes	Q9NRW1	human	Protein	ENSG00000154917	51560	HGNC:14902
14273_19	PPCE	Prolyl endopeptidase	PREP	NA	Yes	P48147	human	Protein	ENSG00000085377	5550	HGNC:9358
14283_12	RAB14	Ras-related protein Rab-14	RAB14	NA	Yes	P61106	human	Protein	ENSG00000119396	51552	HGNC:16524
14284_23	E2AK4	eIF-2-alpha kinase GCN2	EIF2AK4	NA	Yes	Q9P2K8	human	Protein	ENSG00000128829	440275	HGNC:19687
14286_2	NF-ATc1	Nuclear factor of activated T-cells, cytoplasmic 1	NFATC1	NA	Yes	O95644	human	Protein	ENSG00000131196	4772	HGNC:7775
14287_6	RAB5C	Ras-related protein Rab-5C	RAB5C	NA	Yes	P51148	human	Protein	ENSG00000108774	5878	HGNC:9785
14291_53	AGAP2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	AGAP2	NA	Yes	Q99490	human	Protein	ENSG00000135439	116986	HGNC:16921
14294_61	MBD1	Methyl-CpG-binding domain protein 1	MBD1	NA	Yes	Q9UIS9	human	Protein	ENSG00000141644	4152	HGNC:6916
14308_192	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14309_8	HNRH1	Heterogeneous nuclear ribonucleoprotein H	HNRNPH1	NA	Yes	P31943	human	Protein	ENSG00000169045	3187	HGNC:5041
14314_6	PPIL2	Peptidyl-prolyl cis-trans isomerase-like 2	PPIL2	NA	Yes	Q13356	human	Protein	ENSG00000100023	NA	HGNC:9261
14318_1	VPS29	Vacuolar protein sorting-associated protein 29	VPS29	NA	Yes	Q9UBQ0	human	Protein	ENSG00000111237	51699	HGNC:14340
14324_52	CSPG6	Structural maintenance of chromosomes protein 3	SMC3	NA	Yes	Q9UQE7	human	Protein	ENSG00000108055	9126	HGNC:2468
14326_4	UB2E1	Ubiquitin-conjugating enzyme E2 E1	UBE2E1	NA	Yes	P51965	human	Protein	ENSG00000170142	7324	HGNC:12477
14329_4	DIDO1	Death-inducer obliterator 1	DIDO1	NA	Yes	Q9BTC0	human	Protein	ENSG00000101191	11083	HGNC:2680
14331_262	DYLT1	Dynein light chain Tctex-type 1	DYNLT1	NA	Yes	P63172	human	Protein	ENSG00000146425	NA	HGNC:11697
14332_3	RALA	Ras-related protein Ral-A	RALA	NA	Yes	P11233	human	Protein	ENSG00000006451	5898	HGNC:9839
14334_3	RECO	Recoverin	RCVRN	NA	Yes	P35243	human	Protein	ENSG00000109047	5957	HGNC:9937
14337_1	TPPC3	Trafficking protein particle complex subunit 3	TRAPPC3	NA	Yes	O43617	human	Protein	ENSG00000054116	NA	HGNC:19942
14341_8	FA69C	Protein FAM69C	FAM69C	NA	Yes	Q0P6D2	human	Protein	ENSG00000187773	NA	HGNC:31729
14583_49	Myostatin	Growth/differentiation factor 8	MSTN	NA	Yes	O14793	human	Protein	ENSG00000138379	2660	HGNC:4223
14587_16	GDF-11	Growth/differentiation factor 11	GDF11	NA	Yes	O95390	human	Protein	ENSG00000135414	10220	HGNC:4216
14593_152	F210A	Protein FAM210A	FAM210A	NA	Yes	Q96ND0	human	Protein	ENSG00000177150	NA	HGNC:28346
14597_5	SEM6C	Semaphorin-6C	SEMA6C	NA	Yes	Q9H3T2	human	Protein	ENSG00000143434	NA	HGNC:10740
14599_18	STAB1	Stabilin-1	STAB1	NA	Yes	Q9NY15	human	Protein	ENSG00000010327	23166	HGNC:18628
14603_51	KIAA0040	Uncharacterized protein KIAA0040	KIAA0040	NA	Yes	J3QR46	human	Protein	ENSG00000235750	NA	HGNC:28950
14605_2	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14614_41	CA130	Noncompact myelin-associated protein	NCMAP	NA	Yes	Q5T1S8	human	Protein	ENSG00000184454	400746	HGNC:29332
14615_46	KRA24	Keratin-associated protein 2-4	KRTAP2-4	NA	Yes	Q9BYR9	human	Protein	ENSG00000263091	NA	HGNC:18891
14616_16	ZN382	Zinc finger protein 382	ZNF382	NA	Yes	Q96SR6	human	Protein	ENSG00000161298	NA	HGNC:17409
14617_7	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14618_26	ECOP	Vesicular, overexpressed in cancer, prosurvival protein 1	VOPP1	NA	Yes	Q96AW1	human	Protein	ENSG00000154978	81552	HGNC:34518
14619_8	ZN526	Zinc finger protein 526	ZNF526	NA	Yes	Q8TF50	human	Protein	ENSG00000167625	NA	HGNC:29415
14623_26	SUMO3	Small ubiquitin-related modifier 3	SUMO3	NA	Yes	P55854	human	Protein	ENSG00000184900	6613	HGNC:11124
14624_51	CTCF	Transcriptional repressor CTCF	CTCF	NA	Yes	P49711	human	Protein	ENSG00000102974	10664	HGNC:13723
14628_72	FBX3	F-box only protein 3	FBXO3	NA	Yes	Q9UK99	human	Protein	ENSG00000110429	26273	HGNC:13582
14631_22	DUS16	Dual specificity protein phosphatase 16	DUSP16	NA	Yes	Q9BY84	human	Protein	ENSG00000111266	NA	HGNC:17909
14633_26	T185A	Transmembrane protein 185A	TMEM185A	NA	Yes	Q8NFB2	human	Protein	ENSG00000155984	NA	HGNC:17125
14634_13	LSHR	Lutropin-choriogonadotropic hormone receptor	LHCGR	NA	Yes	P22888	human	Protein	ENSG00000138039	NA	HGNC:6585
14635_28	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
14636_25	Ribonuclease UK114	Ribonuclease UK114	HRSP12	NA	Yes	P52758	human	Protein	ENSG00000132541	10247	HGNC:16897
14645_253	GSTA4	Glutathione S-transferase A4	GSTA4	NA	Yes	O15217	human	Protein	ENSG00000170899	NA	HGNC:4629
14655_1	DJC17	DnaJ homolog subfamily C member 17	DNAJC17	NA	Yes	Q9NVM6	human	Protein	ENSG00000104129	NA	HGNC:25556
14662_6	MZF1	Myeloid zinc finger 1	MZF1	NA	Yes	P28698	human	Protein	ENSG00000099326	NA	HGNC:13108
14663_44	RNF8	E3 ubiquitin-protein ligase RNF8	RNF8	NA	Yes	O76064	human	Protein	ENSG00000112130	NA	HGNC:10071
14670_1	SKIL	Ski-like protein	SKIL	NA	Yes	P12757	human	Protein	ENSG00000136603	NA	HGNC:10897
14674_63	PACN3	Protein kinase C and casein kinase substrate in neurons protein 3	PACSIN3	NA	Yes	Q9UKS6	human	Protein	ENSG00000165912	NA	HGNC:8572
14675_20	IF4B	Eukaryotic translation initiation factor 4B	EIF4B	NA	Yes	P23588	human	Protein	ENSG00000063046	1975	HGNC:3285
14684_17	CAN2	Calpain-2 catalytic subunit	CAPN2	NA	Yes	P17655	human	Protein	ENSG00000162909	824	HGNC:1479
14685_17	PKB beta	RAC-beta serine/threonine-protein kinase	AKT2	NA	Yes	P31751	human	Protein	ENSG00000105221	208	HGNC:392
14687_6	M6PBP	Perilipin-3	PLIN3	NA	Yes	O60664	human	Protein	ENSG00000105355	10226	HGNC:16893
14688_6	PTN7	Tyrosine-protein phosphatase non-receptor type 7	PTPN7	NA	Yes	P35236	human	Protein	ENSG00000143851	NA	HGNC:9659
14689_3	SEC13	Protein SEC13 homolog	SEC13	NA	Yes	P55735	human	Protein	ENSG00000157020	6396	HGNC:10697
14692_3	ZN276	Zinc finger protein 276	ZNF276	NA	Yes	Q8N554	human	Protein	ENSG00000158805	NA	HGNC:23330
14705_1	VEGF-D	Vascular endothelial growth factor D	FIGF	NA	Yes	O43915	human	Protein	ENSG00000165197	2277	HGNC:3708
14708_59	CO8G	Complement component C8 gamma chain	C8G	NA	Yes	P07360	human	Protein	ENSG00000176919	733	HGNC:1354
14711_27	Cystatin M	Cystatin-M	CST6	NA	Yes	Q15828	human	Protein	ENSG00000175315	1474	HGNC:2478
14713_46	Azurocidin	Azurocidin	AZU1	NA	Yes	P20160	human	Protein	ENSG00000172232	566	HGNC:913
14747_9	CRLF1	Cytokine receptor-like factor 1	CRLF1	NA	Yes	O75462	human	Protein	ENSG00000006016	NA	HGNC:2364
14748_31	RHG05	Rho GTPase-activating protein 5	ARHGAP5	NA	Yes	Q13017	human	Protein	ENSG00000100852	NA	HGNC:675
15295_81	IGF-II	Insulin-like growth factor II	IGF2	NA	Yes	P01344	human	Protein	ENSG00000167244	3481	HGNC:5466
15297_3	S100A3	Protein S100-A3	S100A3	NA	Yes	P33764	human	Protein	ENSG00000188015	6274	HGNC:10493
15298_199	NETO1	Neuropilin and tolloid-like protein 1	NETO1	NA	Yes	Q8TDF5	human	Protein	ENSG00000166342	81832	HGNC:13823
15299_102	MESD2	LDLR chaperone MESD	MESDC2	NA	Yes	Q14696	human	Protein	ENSG00000117899	23184	HGNC:13520
15300_66	CC134	Coiled-coil domain-containing protein 134	CCDC134	NA	Yes	Q9H6E4	human	Protein	ENSG00000100147	79879	HGNC:26185
15301_24	sperm protein 10	Acrosomal protein SP-10	ACRV1	NA	Yes	P26436	human	Protein	ENSG00000134940	56	HGNC:127
15303_63	S100A5	Protein S100-A5	S100A5	NA	Yes	P33763	human	Protein	ENSG00000196420	6276	HGNC:10495
15304_1	PAP1	Regenerating islet-derived protein 3-alpha	REG3A	NA	Yes	Q06141	human	Protein	ENSG00000172016	5068	HGNC:8601
15305_7	Secretagogin	Secretagogin	SCGN	NA	Yes	O76038	human	Protein	ENSG00000079689	10590	HGNC:16941
15306_20	IgJ	Immunoglobulin J chain	IGJ	NA	Yes	P01591	human	Protein	ENSG00000132465	3512	HGNC:5713
15308_108	VWC2	Brorin	VWC2	NA	Yes	Q2TAL6	human	Protein	ENSG00000188730	375567	HGNC:30200
15310_61	PRC1	Protein regulator of cytokinesis 1	PRC1	NA	Yes	O43663	human	Protein	ENSG00000198901	9055	HGNC:9341
15312_14	AGO1	Protein argonaute-1	AGO1	NA	Yes	Q9UL18	human	Protein	ENSG00000092847	26523	HGNC:3262
15313_28	MD2L1	Mitotic spindle assembly checkpoint protein MAD2A	MAD2L1	NA	Yes	Q13257	human	Protein	ENSG00000164109	4085	HGNC:6763
15314_49	CLIC4	Chloride intracellular channel protein 4	CLIC4	NA	Yes	Q9Y696	human	Protein	ENSG00000169504	25932	HGNC:13518
15315_64	CUTC	Copper homeostasis protein cutC homolog	CUTC	NA	Yes	Q9NTM9	human	Protein	ENSG00000119929	NA	HGNC:24271
15316_262	TXN4B	Thioredoxin-like protein 4B	TXNL4B	NA	Yes	Q9NX01	human	Protein	ENSG00000140830	NA	HGNC:26041
