SeqId	Protein.(short.name)	Protein.(full.name)	Gene	Remark	Included.in.analysis	UniProt	Organism	Type	Ensembl.Gene.ID	Entrez.Gene.ID	HGNC.ID
10000_28	CRBB2	Beta-crystallin B2	CRYBB2	NA	Yes	P43320	human	Protein	ENSG00000244752	1415	HGNC:2398
10001_7	c-Raf	RAF proto-oncogene serine/threonine-protein kinase	RAF1	NA	Yes	P04049	human	Protein	ENSG00000132155	5894	HGNC:9829
10003_15	ZNF41	Zinc finger protein 41	ZNF41	NA	Yes	P51814	human	Protein	ENSG00000147124	7592	HGNC:13107
10006_25	ELK1	ETS domain-containing protein Elk-1	ELK1	NA	Yes	P19419	human	Protein	ENSG00000126767	2002	HGNC:3321
10008_43	GUC1A	Guanylyl cyclase-activating protein 1	GUCA1A	NA	Yes	P43080	human	Protein	ENSG00000048545	2978	HGNC:4678
10011_65	OCRL	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	NA	Yes	Q01968	human	Protein	ENSG00000122126	4952	HGNC:8108
10012_5	SPDEF	SAM pointed domain-containing Ets transcription factor	SPDEF	NA	Yes	O95238	human	Protein	ENSG00000124664	25803	HGNC:17257
10013_34	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10014_31	SLUG	Zinc finger protein SNAI2	SNAI2	NA	Yes	O43623	human	Protein	ENSG00000019549	6591	HGNC:11094
10015_119	KCAB2	Voltage-gated potassium channel subunit beta-2	KCNAB2	NA	Yes	Q13303	human	Protein	ENSG00000069424	8514	HGNC:6229
10021_1	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10022_207	POLH	DNA polymerase eta	POLH	NA	Yes	Q9Y253	human	Protein	ENSG00000170734	5429	HGNC:9181
10023_32	VDR	Vitamin D3 receptor	VDR	NA	Yes	P11473	human	Protein	ENSG00000111424	7421	HGNC:12679
10024_44	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	NA	Yes	Q86XE5	human	Protein	ENSG00000241935	112817	HGNC:25155
10030_8	MutY homolog	Adenine DNA glycosylase	MUTYH	NA	Yes	Q9UIF7	human	Protein	ENSG00000132781	4595	HGNC:7527
10034_16	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10035_6	DUS4	Dual specificity protein phosphatase 4	DUSP4	NA	Yes	Q13115	human	Protein	ENSG00000120875	1846	HGNC:3070
10036_201	ZHX3	Zinc fingers and homeoboxes protein 3	ZHX3	NA	Yes	Q9H4I2	human	Protein	ENSG00000174306	23051	HGNC:15935
10037_98	SIG12	Sialic acid-binding Ig-like lectin 12	SIGLEC12	NA	Yes	Q96PQ1	human	Protein	ENSG00000254521	89858	HGNC:15482
10040_63	P73L	Tumor protein 63	TP63	NA	Yes	Q9H3D4	human	Protein	ENSG00000073282	8626	HGNC:15979
10041_3	HNF4A	Hepatocyte nuclear factor 4-alpha	HNF4A	NA	Yes	P41235	human	Protein	ENSG00000101076	3172	HGNC:5024
10042_8	SGK3	Serine/threonine-protein kinase Sgk3	SGK3	NA	Yes	Q96BR1	human	Protein	ENSG00000104205	23678	HGNC:10812
10043_31	BRD4	Bromodomain-containing protein 4	BRD4	NA	Yes	O60885	human	Protein	ENSG00000141867	23476	HGNC:13575
10044_12	WN10A	Protein Wnt-10a	WNT10A	NA	Yes	Q9GZT5	human	Protein	ENSG00000135925	80326	HGNC:13829
10045_47	CUL3	Cullin-3	CUL3	NA	Yes	Q13618	human	Protein	ENSG00000036257	8452	HGNC:2553
10046_55	cIAP-1	Baculoviral IAP repeat-containing protein 2	BIRC2	NA	Yes	Q13490	human	Protein	ENSG00000110330	329	HGNC:590
10047_12	NCF-2	Neutrophil cytosol factor 2	NCF2	NA	Yes	P19878	human	Protein	ENSG00000116701	4688	HGNC:7661
10048_7	PEBB	Core-binding factor subunit beta	CBFB	NA	Yes	Q13951	human	Protein	ENSG00000067955	865	HGNC:1539
10049_112	TERF1	Telomeric repeat-binding factor 1	TERF1	NA	Yes	P54274	human	Protein	ENSG00000147601	7013	HGNC:11728
10053_5	ILK1	Integrin-linked protein kinase	ILK	NA	Yes	Q13418	human	Protein	ENSG00000166333	3611	HGNC:6040
10054_3	GAN	Gigaxonin	GAN	NA	Yes	Q9H2C0	human	Protein	ENSG00000127688	8139	HGNC:4137
10056_5	FOXM1	Forkhead box protein M1	FOXM1	NA	Yes	Q08050	human	Protein	ENSG00000111206	2305	HGNC:3818
10058_1	RD23A	UV excision repair protein RAD23 homolog A	RAD23A	NA	Yes	P54725	human	Protein	ENSG00000179262	5886	HGNC:9812
10063_10	FANCL	E3 ubiquitin-protein ligase FANCL	FANCL	NA	Yes	Q9NW38	human	Protein	ENSG00000115392	55120	HGNC:20748
10064_12	RBBP9	Putative hydrolase RBBP9	RBBP9	NA	Yes	O75884	human	Protein	ENSG00000089050	10741	HGNC:9892
10070_22	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	NA	Yes	P16885	human	Protein	ENSG00000197943	5336	HGNC:9066
10073_22	TYDP1	Tyrosyl-DNA phosphodiesterase 1	TDP1	NA	Yes	Q9NUW8	human	Protein	ENSG00000042088	55775	HGNC:18884
10074_128	BRD2	Bromodomain-containing protein 2	BRD2	NA	Yes	P25440	human	Protein	ENSG00000234507	6046	HGNC:1103
10075_75	ACBD6	Acyl-CoA-binding domain-containing protein 6	ACBD6	NA	Yes	Q9BR61	human	Protein	ENSG00000135847	84320	HGNC:23339
10076_1	AP4M1	AP-4 complex subunit mu-1	AP4M1	NA	Yes	O00189	human	Protein	ENSG00000221838	9179	HGNC:574
10078_5	BAG3	BAG family molecular chaperone regulator 3	BAG3	NA	Yes	O95817	human	Protein	ENSG00000151929	9531	HGNC:939
10080_9	EI2BA	Translation initiation factor eIF-2B subunit alpha	EIF2B1	NA	Yes	Q14232	human	Protein	ENSG00000111361	1967	HGNC:3257
10081_17	SATB2	DNA-binding protein SATB2	SATB2	NA	Yes	Q9UPW6	human	Protein	ENSG00000119042	23314	HGNC:21637
10082_251	NFL	Neurofilament light polypeptide	NEFL	NA	Yes	P07196	human	Protein	NA	4747	HGNC:7739
10085_25	STAR	Steroidogenic acute regulatory protein, mitochondrial	STAR	NA	Yes	P49675	human	Protein	ENSG00000147465	6770	HGNC:11359
10086_39	CBS	Cystathionine beta-synthase	CBS	NA	Yes	P35520	human	Protein	ENSG00000160200	875	HGNC:1550
10087_10	Alpha crystallin A chain	Alpha-crystallin A chain	CRYAA	NA	Yes	P02489	human	Protein	ENSG00000160202	102724652	HGNC:2388
10088_37	APT	Adenine phosphoribosyltransferase	APRT	NA	Yes	P07741	human	Protein	ENSG00000198931	353	HGNC:626
10089_7	ASML	N-acetylserotonin O-methyltransferase-like protein	ASMTL	NA	Yes	O95671	human	Protein	ENSG00000169093	8623	HGNC:751
10336_3	CHIP	E3 ubiquitin-protein ligase CHIP	STUB1	NA	Yes	Q9UNE7	human	Protein	ENSG00000103266	10273	HGNC:11427
10339_48	NSE	Gamma-enolase	ENO2	NA	Yes	P09104	human	Protein	ENSG00000111674	2026	HGNC:3353
10342_55	PIAS4	E3 SUMO-protein ligase PIAS4	PIAS4	NA	Yes	Q8N2W9	human	Protein	ENSG00000105229	51588	HGNC:17002
10344_334	IL-10 Ra	Interleukin-10 receptor subunit alpha	IL10RA	NA	Yes	Q13651	human	Protein	ENSG00000110324	3587	HGNC:5964
10346_5	STAT3	Signal transducer and activator of transcription 3	STAT3	NA	Yes	P40763	human	Protein	ENSG00000168610	6774	HGNC:11364
10356_21	c-Jun	Transcription factor AP-1	JUN	NA	Yes	P05412	human	Protein	ENSG00000177606	3725	HGNC:6204
10361_25	OAS1	2'-5'-oligoadenylate synthase 1	OAS1	NA	Yes	P00973	human	Protein	ENSG00000089127	4938	HGNC:8086
10362_35	c-Myc	Myc proto-oncogene protein	MYC	NA	Yes	P01106	human	Protein	ENSG00000136997	4609	HGNC:7553
10363_13	SMAD3	Mothers against decapentaplegic homolog 3	SMAD3	NA	Yes	P84022	human	Protein	ENSG00000166949	4088	HGNC:6769
10364_6	SMAD2	Mothers against decapentaplegic homolog 2	SMAD2	NA	Yes	Q15796	human	Protein	ENSG00000175387	4087	HGNC:6768
10365_132	IL-23	Interleukin-23	IL12B|IL23A	multiple gene id	No	P29460|Q9NPF7	human	Protein	ENSG00000113302|ENSG00000110944	3593|51561	HGNC:15488|HGNC:5970
10366_11	PDGFRA	Platelet-derived growth factor receptor alpha	PDGFRA	NA	Yes	P16234	human	Protein	ENSG00000134853	5156	HGNC:8803
10367_62	I have added two columns: Remark and Exclude.	Interleukin-12	IL12A|IL12B	multiple gene id	No	P29459|P29460	human	Protein	ENSG00000168811|ENSG00000113302	3592|3593	HGNC:5969|HGNC:5970
10370_21	STAT1	Signal transducer and activator of transcription 1-alpha/beta	STAT1	NA	Yes	P42224	human	Protein	ENSG00000115415	6772	HGNC:11362
10372_18	STAT6	Signal transducer and activator of transcription 6	STAT6	NA	Yes	P42226	human	Protein	ENSG00000166888	6778	HGNC:11368
10390_21	ZNRF3	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	NA	Yes	Q9ULT6	human	Protein	ENSG00000183579	84133	HGNC:18126
10391_1	ANGL3	Angiopoietin-related protein 3	ANGPTL3	NA	Yes	Q9Y5C1	human	Protein	ENSG00000132855	27329	HGNC:491
10396_6	Mcl-1	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	NA	Yes	Q07820	human	Protein	ENSG00000143384	4170	HGNC:6943
10416_79	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10418_36	STX12	Syntaxin-12	STX12	NA	Yes	Q86Y82	human	Protein	ENSG00000117758	23673	HGNC:11430
10419_1	SCAR5	Scavenger receptor class A member 5	SCARA5	NA	Yes	Q6ZMJ2	human	Protein	ENSG00000168079	286133	HGNC:28701
10424_31	NPDC1	Neural proliferation differentiation and control protein 1	NPDC1	NA	Yes	Q9NQX5	human	Protein	ENSG00000107281	56654	HGNC:7899
10425_3	B4GT5	Beta-1,4-galactosyltransferase 5	B4GALT5	NA	Yes	O43286	human	Protein	ENSG00000158470	9334	HGNC:928
10426_21	GOSR2	Golgi SNAP receptor complex member 2	GOSR2	NA	Yes	O14653	human	Protein	ENSG00000108433	9570	HGNC:4431
10427_2	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10428_1	KI2S2	Killer cell immunoglobulin-like receptor 2DS2	KIR2DS2	NA	Yes	P43631	human	Protein	NA	100132285	HGNC:6334
10430_31	4F2	4F2 cell-surface antigen heavy chain	SLC3A2	NA	Yes	P08195	human	Protein	ENSG00000168003	6520	HGNC:11026
10432_3	K1644	Uncharacterized protein KIAA1644	KIAA1644	NA	Yes	Q3SXP7	human	Protein	ENSG00000138944	85352	HGNC:29335
10435_2	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	AGA	NA	Yes	P20933	human	Protein	ENSG00000038002	175	HGNC:318
10438_19	CSF2R	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	NA	Yes	P15509	human	Protein	ENSG00000198223	1438	HGNC:2435
10440_26	ACAM	CXADR-like membrane protein	CLMP	NA	Yes	Q9H6B4	human	Protein	ENSG00000166250	79827	HGNC:24039
10442_1	TM190	Transmembrane protein 190	TMEM190	NA	Yes	Q8WZ59	human	Protein	ENSG00000160472	147744	HGNC:29632
10445_20	ApoM	Apolipoprotein M	APOM	NA	Yes	O95445	human	Protein	ENSG00000226215	55937	HGNC:13916
10447_18	PABP3	Polyadenylate-binding protein 3	PABPC3	NA	Yes	Q9H361	human	Protein	ENSG00000151846	5042	HGNC:8556
10449_31	TMM46	Protein shisa-2 homolog	SHISA2	NA	Yes	Q6UWI4	human	Protein	ENSG00000180730	387914	HGNC:20366
10451_11	NUCB1	Nucleobindin-1	NUCB1	NA	Yes	Q02818	human	Protein	ENSG00000104805	4924	HGNC:8043
10452_24	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10453_7	CEA20	Carcinoembryonic antigen-related cell adhesion molecule 20	CEACAM20	NA	Yes	Q6UY09	human	Protein	NA	125931	HGNC:24879
10454_99	DJC16	DnaJ homolog subfamily C member 16	DNAJC16	NA	Yes	Q9Y2G8	human	Protein	ENSG00000116138	23341	HGNC:29157
10455_196	IL-31	Interleukin-31	IL31	NA	Yes	Q6EBC2	human	Protein	ENSG00000204671	386653	HGNC:19372
10461_57	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10462_14	INSL5	Insulin-like peptide INSL5	INSL5	NA	Yes	Q9Y5Q6	human	Protein	ENSG00000172410	10022	HGNC:6088
10464_6	ANTR1	Anthrax toxin receptor 1	ANTXR1	NA	Yes	Q9H6X2	human	Protein	ENSG00000169604	84168	HGNC:21014
10467_58	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10471_25	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10476_23	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10477_162	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10485_56	MAGE-4	Melanoma-associated antigen 4	MAGEA4	NA	Yes	P43358	human	Protein	ENSG00000147381	4103	HGNC:6802
10489_19	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10490_3	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	NA	Yes	P04843	human	Protein	ENSG00000163902	6184	HGNC:10381
10491_21	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10494_48	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10495_10	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10496_11	CaCC	Calcium-activated chloride channel regulator 1	CLCA1	NA	Yes	A8K7I4	human	Protein	ENSG00000016490	1179	HGNC:2015
10497_242	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10499_1	T106A	Transmembrane protein 106A	TMEM106A	NA	Yes	Q96A25	human	Protein	ENSG00000184988	113277	HGNC:28288
10501_3	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10502_15	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10503_55	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10504_6	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10506_53	PGRC2	Membrane-associated progesterone receptor component 2	PGRMC2	NA	Yes	O15173	human	Protein	ENSG00000164040	10424	HGNC:16089
10507_166	sperm protein 10	Acrosomal protein SP-10	ACRV1	NA	Yes	P26436	human	Protein	ENSG00000134940	56	HGNC:127
10510_62	SCIMP	SLP adapter and CSK-interacting membrane protein	SCIMP	NA	Yes	Q6UWF3	human	Protein	ENSG00000161929	388325	HGNC:33504
10511_10	Collagen alpha-3(VI)	Collagen alpha-3(VI) chain	COL6A3	NA	Yes	P12111	human	Protein	ENSG00000163359	1293	HGNC:2213
10512_13	IL3RB	Cytokine receptor common subunit beta	CSF2RB	NA	Yes	P32927	human	Protein	ENSG00000100368	1439	HGNC:2436
10513_13	CSEN	Calsenilin	KCNIP3	NA	Yes	Q9Y2W7	human	Protein	ENSG00000115041	30818	HGNC:15523
10514_5	PGD2 synthase	Prostaglandin-H2 D-isomerase	PTGDS	NA	Yes	P41222	human	Protein	ENSG00000107317	5730	HGNC:9592
10516_53	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10518_14	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10521_10	MXRA8	Matrix-remodeling-associated protein 8	MXRA8	NA	Yes	Q9BRK3	human	Protein	ENSG00000162576	54587	HGNC:7542
10522_167	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10527_22	DHX9	ATP-dependent RNA helicase A	DHX9	NA	Yes	Q08211	human	Protein	ENSG00000135829	1660	HGNC:2750
10529_19	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10530_8	PSB6	Proteasome subunit beta type-6	PSMB6	NA	Yes	P28072	human	Protein	ENSG00000142507	5694	HGNC:9543
10531_18	RASN	GTPase NRas	NRAS	NA	Yes	P01111	human	Protein	ENSG00000213281	4893	HGNC:7989
10533_1	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10534_40	PARP	Poly [ADP-ribose] polymerase 1	PARP1	NA	Yes	P09874	human	Protein	ENSG00000143799	142	HGNC:270
10535_25	CX6A2	Cytochrome c oxidase subunit 6A2, mitochondrial	COX6A2	NA	Yes	Q02221	human	Protein	ENSG00000156885	1339	HGNC:2279
10539_30	C99L2	CD99 antigen-like protein 2	CD99L2	NA	Yes	Q8TCZ2	human	Protein	ENSG00000102181	83692	HGNC:18237
10546_2	TSEAR	Thrombospondin-type laminin G domain and EAR repeat-containing protein	TSPEAR	NA	Yes	Q8WU66	human	Protein	ENSG00000175894	54084	HGNC:1268
10547_42	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10548_35	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10550_37	BMP RIB	Bone morphogenetic protein receptor type-1B	BMPR1B	NA	Yes	O00238	human	Protein	ENSG00000138696	658	HGNC:1077
10551_7	LAT	Linker for activation of T-cells family member 1	LAT	NA	Yes	O43561	human	Protein	ENSG00000213658	27040	HGNC:18874
10552_88	NKG2F	NKG2-F type II integral membrane protein	KLRC4	NA	Yes	O43908	human	Protein	ENSG00000183542	8302	HGNC:6377
10553_8	TOIP2	Torsin-1A-interacting protein 2	TOR1AIP2	NA	Yes	Q8NFQ8	human	Protein	ENSG00000169905	163590	HGNC:24055
10554_23	BGAL	Beta-galactosidase	GLB1	NA	Yes	P16278	human	Protein	ENSG00000170266	2720	HGNC:4298
10557_6	TEX29	Testis-expressed sequence 29 protein	TEX29	NA	Yes	Q8N6K0	human	Protein	ENSG00000153495	121793	HGNC:20370
10558_26	PCDH9	Protocadherin-9	PCDH9	NA	Yes	Q9HC56	human	Protein	ENSG00000184226	5101	HGNC:8661
10560_1	ITM2C	Integral membrane protein 2C	ITM2C	NA	Yes	Q9NQX7	human	Protein	ENSG00000135916	81618	HGNC:6175
10561_5	PGRP-I-alpha	Peptidoglycan recognition protein 3	PGLYRP3	NA	Yes	Q96LB9	human	Protein	ENSG00000159527	114771	HGNC:30014
10562_42	NETO2	Neuropilin and tolloid-like protein 2	NETO2	NA	Yes	Q8NC67	human	Protein	ENSG00000171208	81831	HGNC:14644
10563_13	LYSM3	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSMD3	NA	Yes	Q7Z3D4	human	Protein	ENSG00000176018	116068	HGNC:26969
10565_19	SLIK3	SLIT and NTRK-like protein 3	SLITRK3	NA	Yes	O94933	human	Protein	ENSG00000121871	22865	HGNC:23501
10569_28	MFAP2	Microfibrillar-associated protein 2	MFAP2	annotation added	Yes	P55001	human	Protein	ENSG00000117122	4237	HGNC:7033
10571_14	MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	NA	Yes	P26572	human	Protein	ENSG00000131446	4245	HGNC:7044
10572_65	CST8	Cystatin-8	CST8	NA	Yes	O60676	human	Protein	ENSG00000125815	10047	HGNC:2480
10574_10	b2-Microglobulin	Beta-2-microglobulin	B2M	annotation added	Yes	P61769	human	Protein	ENSG00000273686	567	HGNC:914
10575_31	PUF60	Poly(U)-binding-splicing factor PUF60	PUF60	NA	Yes	Q9UHX1	human	Protein	ENSG00000179950	22827	HGNC:17042
10580_14	SFTA2	Surfactant-associated protein 2	SFTA2	NA	Yes	Q6UW10	human	Protein	ENSG00000225454	389376	HGNC:18386
10582_36	SG196	Protein O-mannose kinase	POMK	NA	Yes	Q9H5K3	human	Protein	NA	84197	HGNC:26267
10583_1	TM108	Transmembrane protein 108	TMEM108	NA	Yes	Q6UXF1	human	Protein	ENSG00000144868	66000	HGNC:28451
10584_7	NDUS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUFS4	NA	Yes	O43181	human	Protein	ENSG00000164258	4724	HGNC:7711
10588_39	SIAT9	Lactosylceramide alpha-2,3-sialyltransferase	ST3GAL5	NA	Yes	Q9UNP4	human	Protein	ENSG00000115525	8869	HGNC:10872
10589_7	RET1L	Retinoic acid early transcript 1L protein	RAET1L	NA	Yes	Q5VY80	human	Protein	ENSG00000155918	154064	HGNC:16798
10593_14	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10600_24	CLGN	Calmegin	CLGN	NA	Yes	O14967	human	Protein	ENSG00000153132	4312	HGNC:2060
10603_1	HIS3	Histatin-3	HTN3	NA	Yes	P15516	human	Protein	ENSG00000205649	3347	HGNC:5284
10605_22	APMAP	Adipocyte plasma membrane-associated protein	APMAP	NA	Yes	Q9HDC9	human	Protein	ENSG00000101474	57136	HGNC:13238
10606_34	TOIP1	Torsin-1A-interacting protein 1	TOR1AIP1	NA	Yes	Q5JTV8	human	Protein	ENSG00000143337	26092	HGNC:29456
10607_4	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10608_9	HIS1	Histatin-1	HTN1	NA	Yes	P15515	human	Protein	ENSG00000126550	3346	HGNC:5283
10610_8	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10612_18	PLOD3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	NA	Yes	O60568	human	Protein	ENSG00000106397	8985	HGNC:9083
10613_33	CASC4	Protein CASC4	CASC4	NA	Yes	Q6P4E1	human	Protein	ENSG00000166734	113201	HGNC:24892
10615_18	MYP0	Myelin protein P0	MPZ	NA	Yes	P25189	human	Protein	ENSG00000158887	4359	HGNC:7225
10616_67	PDXL2	Podocalyxin-like protein 2	PODXL2	NA	Yes	Q9NZ53	human	Protein	ENSG00000114631	50512	HGNC:17936
10618_190	megalin	Low-density lipoprotein receptor-related protein 2	LRP2	NA	Yes	P98164	human	Protein	ENSG00000081479	4036	HGNC:6694
10620_21	PSP-94	Beta-microseminoprotein	MSMB	NA	Yes	P08118	human	Protein	ENSG00000138294	4477	HGNC:7372
10621_26	PRR16	Protein Largen	PRR16	NA	Yes	Q569H4	human	Protein	ENSG00000184838	51334	HGNC:29654
10622_9	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10623_19	MUC1	Mucin-1	MUC1	NA	Yes	P15941	human	Protein	NA	4582	HGNC:7508
10624_45	ISK13	Serine protease inhibitor Kazal-type 13	SPINK13	NA	Yes	Q1W4C9	human	Protein	ENSG00000214510	153218	HGNC:27200
10627_87	APLP2	Amyloid-like protein 2	APLP2	NA	Yes	Q06481	human	Protein	ENSG00000084234	334	HGNC:598
10630_5	HTAI2	Oxidoreductase HTATIP2	HTATIP2	NA	Yes	Q9BUP3	human	Protein	ENSG00000109854	10553	HGNC:16637
10637_50	K1324	UPF0577 protein KIAA1324	KIAA1324	NA	Yes	Q6UXG2	human	Protein	ENSG00000116299	57535	HGNC:29618
10638_1	TINF2	TERF1-interacting nuclear factor 2	TINF2	NA	Yes	Q9BSI4	human	Protein	ENSG00000092330	26277	HGNC:11824
10639_1	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10640_9	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10643_16	NOE3	Noelin-3	OLFM3	NA	Yes	Q96PB7	human	Protein	ENSG00000118733	118427	HGNC:17990
10645_72	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10647_18	ASCC1	Activating signal cointegrator 1 complex subunit 1	ASCC1	NA	Yes	Q8N9N2	human	Protein	ENSG00000138303	51008	HGNC:24268
10655_43	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10658_28	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10659_49	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10660_33	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10661_4	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10663_42	INSI1	Insulin-induced gene 1 protein	INSIG1	NA	Yes	O15503	human	Protein	ENSG00000186480	3638	HGNC:6083
10665_30	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10666_7	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma	GNPTG	NA	Yes	Q9UJJ9	human	Protein	ENSG00000090581	84572	HGNC:23026
10667_78	CA185	Uncharacterized protein C1orf185	C1orf185	NA	Yes	Q5T7R7	human	Protein	ENSG00000204006	284546	HGNC:28096
10668_5	STX4	Syntaxin-4	STX4	NA	Yes	Q12846	human	Protein	ENSG00000103496	6810	HGNC:11439
10671_67	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10672_75	SP-B	Pulmonary surfactant-associated protein B	SFTPB	NA	Yes	P07988	human	Protein	ENSG00000168878	6439	HGNC:10801
10675_223	TMX2	Thioredoxin-related transmembrane protein 2	TMX2	NA	Yes	Q9Y320	human	Protein	ENSG00000213593	51075	HGNC:30739
10677_9	NDUB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUFB4	NA	Yes	O95168	human	Protein	ENSG00000065518	4710	HGNC:7699
10692_48	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10693_43	KLRG2	Killer cell lectin-like receptor subfamily G member 2	KLRG2	NA	Yes	A4D1S0	human	Protein	ENSG00000188883	346689	HGNC:24778
10695_12	WF10B	Protein WFDC10B	WFDC10B	NA	Yes	Q8IUB3	human	Protein	ENSG00000182931	280664	HGNC:20479
10699_52	LRP1	Prolow-density lipoprotein receptor-related protein 1	LRP1	NA	Yes	Q07954	human	Protein	ENSG00000123384	4035	HGNC:6692
10700_10	IGS11	Immunoglobulin superfamily member 11	IGSF11	NA	Yes	Q5DX21	human	Protein	ENSG00000144847	152404	HGNC:16669
10701_30	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10702_1	COSA1	Collagen alpha-1(XXVIII) chain	COL28A1	NA	Yes	Q2UY09	human	Protein	ENSG00000215018	340267	HGNC:22442
10703_203	SDS3	Sin3 histone deacetylase corepressor complex component SDS3	SUDS3	NA	Yes	Q9H7L9	human	Protein	ENSG00000111707	64426	HGNC:29545
10704_91	LRMP	Lymphoid-restricted membrane protein	LRMP	NA	Yes	Q12912	human	Protein	ENSG00000118308	4033	HGNC:6690
10705_14	SIA7C	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	ST6GALNAC3	NA	Yes	Q8NDV1	human	Protein	ENSG00000184005	256435	HGNC:19343
10708_3	GON2	Progonadoliberin-2	GNRH2	NA	Yes	O43555	human	Protein	ENSG00000125787	2797	HGNC:4420
